site,date,time (pdt),stage (ft),notes
LyellAbvTwinBridges,7/31/19,17:12,9.71,
LyellAbvTwinBridges,8/8/19,8:52,9.85,
LyellAbvTwinBridges,8/8/19,9:46,9.84,
LyellAbvTwinBridges,8/8/19,10:00,9.84,
LyellAbvTwinBridges,7/15/19,10:45,10.54,adding td?
LyellAbvTwinBridges,7/15/19,12:36,10.48,adding td?
LyellAbvTwinBridges,7/18/19,16:30,9.7,
LyellAbvTwinBridges,7/18/19,17:13,9.67,
LyellAbvTwinBridges,6/20/20,10:30,9.96,
LyellAbvTwinBridges,6/20/20,12:08,9.96,
LyellAbvTwinBridges,7/22/20,16:40,9.34,
LyellAbvTwinBridges,7/22/20,17:47,9.34,
LyellAbvTwinBridges,8/6/20,11:31,9.19,
LyellAbvTwinBridges,8/6/20,12:49,9.19,
LyellAbvTwinBridges,8/13/20,10:38,9.11,
LyellAbvTwinBridges,8/13/20,11:25,9.1,
LyellAbvTwinBridges,6/15/21,10:40,9.39,
LyellAbvTwinBridges,7/14/21,9:08,9.37,
LyellAbvTwinBridges,7/14/21,9:53,9.38,
LyellAbvTwinBridges,7/21/21,11:30,9.29,
LyellAbvTwinBridges,7/21/21,12:40,9.3,
LyellAbvTwinBridges,8/24/21,14:15,9,
LyellAbvTwinBridges,8/24/21,15:15,9,
LyellBlwMaclure,7/3/19,7:20,7.9,
LyellBlwMaclure,7/3/19,7:58,7.89,
LyellBlwMaclure,7/3/19,8:49,7.85,
LyellBlwMaclure,7/3/19,9:00,7.85,
LyellBlwMaclure,8/6/19,16:00,7.51,
LyellBlwMaclure,8/6/19,16:20,7.51,
LyellBlwMaclure,8/6/19,20:20,7.71,
LyellBlwMaclure,8/6/19,20:40,7.7,
LyellBlwMaclure,8/7/19,6:29,7.59,
LyellBlwMaclure,8/7/19,7:22,7.58,
LyellBlwMaclure,8/7/19,8:12,7.57,
LyellBlwMaclure,6/25/20,9:02,7.62,
LyellBlwMaclure,6/25/20,9:43,7.62,
LyellBlwMaclure,6/25/20,9:58,7.62,
LyellBlwMaclure,6/25/20,10:36,7.61,
LyellBlwMaclure,6/25/20,10:50,7.59,
LyellBlwMaclure,6/25/20,11:06,7.6,
LyellBlwMaclure,8/19/20,9:43,7.1,
LyellBlwMaclure,8/19/20,9:56,7.1,
LyellBlwMaclure,8/19/20,10:19,7.09,
LyellBlwMaclure,8/11/21,8:30,6.94,
LyellBlwMaclure,8/11/21,9:45,6.94,
LyellBlwMaclure,8/11/21,10:15,6.91,
LyellBlwMaclure,8/3/20,9:25,7.75,
LyellBlwMaclure,8/3/20,9:50,7.75,
LyellBlwMaclure,8/3/20,10:10,7.75,
LyellBlwMaclure,8/3/20,10:42,7.74,
LyellBlwMaclure,8/3/20,10:50,7.73,
Tuolumne@120,8/1/19,8:45,3.45,
Tuolumne@120,8/8/19,11:14,3.47,
Tuolumne@120,8/8/19,12:12,3.61,wse
Tuolumne@120,6/9/20,10:20,3.63,wse
Tuolumne@120,8/5/20,11:00,2.72,wse
Tuolumne@120,8/5/20,12:25,2.72,
Tuolumne@120,8/5/20,14:40,2.72,
Tuolumne@120,8/5/20,16:09,2.74,
Tuolumne@120,9/28/20,13:23,2.47,
Tuolumne@120,10/27/20,11:53,3.8,
Tuolumne@120,5/12/21,12:50,4.72,
Tuolumne@120,5/12/21,13:25,4.73,
Tuolumne@120,6/8/21,13:40,3.86,
Tuolumne@120,6/8/21,14:35,3.83,
Tuolumne@120,7/15/21,12:35,2.94,
Tuolumne@120,7/15/21,13:20,2.94,
Tuolumne@120,8/26/21,10:08,2.53,
Tuolumne@120,8/26/21,11:15,2.53,
