Serial_number:   
2004212   
Project ID:   
L2004212   
Location:   
Lyell_Fk_abv_Twin_Br_Stilling_Tu
LEVEL   
UNIT: cm   
Offset: 0.000000 cm   
TEMPERATURE   
UNIT: °C   
Date,Time,ms,LEVEL (cm),TEMPERATURE 
7/29/2018,5:30:00 PM,0,807.57,12.136 
7/29/2018,6:00:00 PM,0,807.6,12.236 
7/29/2018,6:30:00 PM,0,807.67,12.368 
7/29/2018,7:00:00 PM,0,807.63,12.523 
7/29/2018,7:30:00 PM,0,807.63,12.696 
7/29/2018,8:00:00 PM,0,807.52,12.911 
7/29/2018,8:30:00 PM,0,807.54,13.111 
7/29/2018,9:00:00 PM,0,807.35,13.264 
7/29/2018,9:30:00 PM,0,807.43,13.376 
7/29/2018,10:00:00 PM,0,807.23,13.512 
7/29/2018,10:30:00 PM,0,807.19,13.642 
7/29/2018,11:00:00 PM,0,807.05,13.712 
7/29/2018,11:30:00 PM,0,806.94,13.769 
7/30/2018,12:00:00 AM,0,806.76,13.822 
7/30/2018,12:30:00 AM,0,806.51,13.864 
7/30/2018,1:00:00 AM,0,806.31,13.869 
7/30/2018,1:30:00 AM,0,806.38,13.825 
7/30/2018,2:00:00 AM,0,806.25,13.817 
7/30/2018,2:30:00 AM,0,806.08,13.768 
7/30/2018,3:00:00 AM,0,806.1,13.755 
7/30/2018,3:30:00 AM,0,806.07,13.753 
7/30/2018,4:00:00 AM,0,806.16,13.73 
7/30/2018,4:30:00 AM,0,806.28,13.717 
7/30/2018,5:00:00 AM,0,806.47,13.69 
7/30/2018,5:30:00 AM,0,806.41,13.67 
7/30/2018,6:00:00 AM,0,806.25,13.639 
7/30/2018,6:30:00 AM,0,806.23,13.621 
7/30/2018,7:00:00 AM,0,806.11,13.6 
7/30/2018,7:30:00 AM,0,805.85,13.559 
7/30/2018,8:00:00 AM,0,805.71,13.52 
7/30/2018,8:30:00 AM,0,805.56,13.484 
7/30/2018,9:00:00 AM,0,805.45,13.443 
7/30/2018,9:30:00 AM,0,805.51,13.382 
7/30/2018,10:00:00 AM,0,805.49,13.305 
7/30/2018,10:30:00 AM,0,805.49,13.195 
7/30/2018,11:00:00 AM,0,805.6,13.056 
7/30/2018,11:30:00 AM,0,805.7,12.914 
7/30/2018,12:00:00 PM,0,805.81,12.773 
7/30/2018,12:30:00 PM,0,805.92,12.622 
7/30/2018,1:00:00 PM,0,806.14,12.477 
7/30/2018,1:30:00 PM,0,806.34,12.323 
7/30/2018,2:00:00 PM,0,806.47,12.198 
7/30/2018,2:30:00 PM,0,806.56,12.088 
7/30/2018,3:00:00 PM,0,806.53,12.023 
7/30/2018,3:30:00 PM,0,806.61,12.019 
7/30/2018,4:00:00 PM,0,806.6,12.043 
7/30/2018,4:30:00 PM,0,806.46,12.084 
7/30/2018,5:00:00 PM,0,806.33,12.148 
7/30/2018,5:30:00 PM,0,806.25,12.22 
7/30/2018,6:00:00 PM,0,806.41,12.314 
7/30/2018,6:30:00 PM,0,806.41,12.44 
7/30/2018,7:00:00 PM,0,806.37,12.615 
7/30/2018,7:30:00 PM,0,806.38,12.844 
7/30/2018,8:00:00 PM,0,806.4,13.078 
7/30/2018,8:30:00 PM,0,806.4,13.316 
7/30/2018,9:00:00 PM,0,806.09,13.518 
7/30/2018,9:30:00 PM,0,806.02,13.737 
7/30/2018,10:00:00 PM,0,805.88,13.846 
7/30/2018,10:30:00 PM,0,805.5,13.932 
7/30/2018,11:00:00 PM,0,805.31,14.082 
7/30/2018,11:30:00 PM,0,805.28,14.109 
7/31/2018,12:00:00 AM,0,805.91,14.112 
7/31/2018,12:30:00 AM,0,806.16,14.061 
7/31/2018,1:00:00 AM,0,806.25,14.045 
7/31/2018,1:30:00 AM,0,806.07,14.037 
7/31/2018,2:00:00 AM,0,805.94,14.02 
7/31/2018,2:30:00 AM,0,805.63,13.994 
7/31/2018,3:00:00 AM,0,805.39,13.988 
7/31/2018,3:30:00 AM,0,805.14,13.972 
7/31/2018,4:00:00 AM,0,805.06,13.962 
7/31/2018,4:30:00 AM,0,805.08,13.933 
7/31/2018,5:00:00 AM,0,805.19,13.908 
7/31/2018,5:30:00 AM,0,805.15,13.875 
7/31/2018,6:00:00 AM,0,805.06,13.851 
7/31/2018,6:30:00 AM,0,804.9,13.819 
7/31/2018,7:00:00 AM,0,804.74,13.777 
7/31/2018,7:30:00 AM,0,804.75,13.735 
7/31/2018,8:00:00 AM,0,804.76,13.691 
7/31/2018,8:30:00 AM,0,804.69,13.646 
7/31/2018,9:00:00 AM,0,804.84,13.609 
7/31/2018,9:30:00 AM,0,804.98,13.565 
7/31/2018,10:00:00 AM,0,805.04,13.515 
7/31/2018,10:30:00 AM,0,805.22,13.473 
7/31/2018,11:00:00 AM,0,805.48,13.415 
7/31/2018,11:30:00 AM,0,805.59,13.346 
7/31/2018,12:00:00 PM,0,805.65,13.258 
7/31/2018,12:30:00 PM,0,805.8,13.151 
7/31/2018,1:00:00 PM,0,806.04,13.04 
7/31/2018,1:30:00 PM,0,806.22,12.934 
7/31/2018,2:00:00 PM,0,806.38,12.832 
7/31/2018,2:30:00 PM,0,806.53,12.749 
7/31/2018,3:00:00 PM,0,806.59,12.674 
7/31/2018,3:30:00 PM,0,806.63,12.656 
7/31/2018,4:00:00 PM,0,806.59,12.666 
7/31/2018,4:30:00 PM,0,806.46,12.694 
7/31/2018,5:00:00 PM,0,806.45,12.727 
7/31/2018,5:30:00 PM,0,806.56,12.761 
7/31/2018,6:00:00 PM,0,806.68,12.8 
7/31/2018,6:30:00 PM,0,806.56,12.862 
7/31/2018,7:00:00 PM,0,806.65,12.956 
7/31/2018,7:30:00 PM,0,807.03,13.034 
7/31/2018,8:00:00 PM,0,806.8,13.091 
7/31/2018,8:30:00 PM,0,806.6,13.266 
7/31/2018,9:00:00 PM,0,806.32,13.465 
7/31/2018,9:30:00 PM,0,806.12,13.617 
7/31/2018,10:00:00 PM,0,805.84,13.752 
7/31/2018,10:30:00 PM,0,805.59,13.882 
7/31/2018,11:00:00 PM,0,805.37,14.023 
7/31/2018,11:30:00 PM,0,805.02,14.125 
8/1/2018,12:00:00 AM,0,805.22,14.186 
8/1/2018,12:30:00 AM,0,805.07,14.269 
8/1/2018,1:00:00 AM,0,804.97,14.296 
8/1/2018,1:30:00 AM,0,804.82,14.316 
8/1/2018,2:00:00 AM,0,804.96,14.303 
8/1/2018,2:30:00 AM,0,805.04,14.254 
8/1/2018,3:00:00 AM,0,805,14.232 
8/1/2018,3:30:00 AM,0,805.29,14.229 
8/1/2018,4:00:00 AM,0,805.65,14.221 
8/1/2018,4:30:00 AM,0,824.24,14.24 
8/1/2018,5:00:00 AM,0,831.92,14.48 
8/1/2018,5:30:00 AM,0,833.57,14.689 
8/1/2018,6:00:00 AM,0,833.23,14.601 
8/1/2018,6:30:00 AM,0,832.87,14.318 
8/1/2018,7:00:00 AM,0,832.41,13.994 
8/1/2018,7:30:00 AM,0,832.07,13.697 
8/1/2018,8:00:00 AM,0,831.82,13.249 
8/1/2018,8:30:00 AM,0,831.23,12.634 
8/1/2018,9:00:00 AM,0,830.34,12.127 
8/1/2018,9:30:00 AM,0,829.37,11.81 
8/1/2018,10:00:00 AM,0,828.24,11.682 
8/1/2018,10:30:00 AM,0,827.06,11.625 
8/1/2018,11:00:00 AM,0,825.84,11.528 
8/1/2018,11:30:00 AM,0,824.79,11.424 
8/1/2018,12:00:00 PM,0,823.79,11.263 
8/1/2018,12:30:00 PM,0,822.79,11.116 
8/1/2018,1:00:00 PM,0,821.99,10.958 
8/1/2018,1:30:00 PM,0,821.24,10.815 
8/1/2018,2:00:00 PM,0,820.54,10.672 
8/1/2018,2:30:00 PM,0,819.81,10.582 
8/1/2018,3:00:00 PM,0,819.27,10.531 
8/1/2018,3:30:00 PM,0,818.67,10.547 
8/1/2018,4:00:00 PM,0,818.04,10.61 
8/1/2018,4:30:00 PM,0,817.57,10.726 
8/1/2018,5:00:00 PM,0,817.11,10.871 
8/1/2018,5:30:00 PM,0,816.55,11.029 
