"TOA5","DanaBug","CR800","15297","CR800.Std.11","CPU:DanaFk_downloaded_20210707.cr8","13686","T15min"
"TIMESTAMP","RECORD","BattV","Lvl_ft","Temp_C","Observed","Lvl_ft_corr","Offset"
"TS","RN","Volts","feet","deg C","","feet",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2021-07-28 15:00:00",231303,13.36,0.796,14.69,1,1.045,0.25
"2021-07-28 15:15:00",231304,13.31,0.798,14.74,1,1.048,0.25
"2021-07-28 15:30:00",231305,13.37,0.798,14.76,1,1.048,0.25
"2021-07-28 15:45:00",231306,13.37,0.79,14.81,1,1.04,0.25
"2021-07-28 16:00:00",231307,13.37,0.789,14.85,1,1.039,0.25
"2021-07-28 16:15:00",231308,13.31,0.792,14.86,1,1.042,0.25
"2021-07-28 16:30:00",231309,13.29,0.796,14.8,1,1.046,0.25
"2021-07-28 16:45:00",231310,13.26,0.801,14.71,1,1.051,0.25
"2021-07-28 17:00:00",231311,13.24,0.807,14.59,1,1.057,0.25
"2021-07-28 17:15:00",231312,13.22,0.816,14.45,1,1.065,0.25
"2021-07-28 17:30:00",231313,13.2,0.819,14.3,1,1.068,0.25
"2021-07-28 17:45:00",231314,13.18,0.818,14.17,1,1.068,0.25
"2021-07-28 18:00:00",231315,13.16,0.823,14.05,1,1.072,0.25
"2021-07-28 18:15:00",231316,13.15,0.826,13.97,1,1.076,0.25
"2021-07-28 18:30:00",231317,13.13,0.829,13.92,1,1.078,0.25
"2021-07-28 18:45:00",231318,13.12,0.828,13.89,1,1.078,0.25
"2021-07-28 19:00:00",231319,13.11,0.831,13.86,1,1.081,0.25
"2021-07-28 19:15:00",231320,13.1,0.834,13.83,1,1.084,0.25
"2021-07-28 19:30:00",231321,13.07,0.84,13.79,1,1.089,0.25
"2021-07-28 19:45:00",231322,13.06,0.845,13.74,1,1.095,0.25
"2021-07-28 20:00:00",231323,13.05,0.868,13.68,1,1.118,0.25
"2021-07-28 20:15:00",231324,13.04,0.886,13.62,1,1.136,0.25
"2021-07-28 20:30:00",231325,13.02,0.894,13.56,1,1.144,0.25
"2021-07-28 20:45:00",231326,13.01,0.892,13.48,1,1.142,0.25
"2021-07-28 21:00:00",231327,13,0.896,13.4,1,1.145,0.25
"2021-07-28 21:15:00",231328,12.99,0.896,13.32,1,1.146,0.25
"2021-07-28 21:30:00",231329,12.98,0.898,13.24,1,1.148,0.25
"2021-07-28 21:45:00",231330,12.96,0.904,13.15,1,1.154,0.25
"2021-07-28 22:00:00",231331,12.95,0.923,13.05,1,1.172,0.25
"2021-07-28 22:15:00",231332,12.94,0.934,12.95,1,1.183,0.25
"2021-07-28 22:30:00",231333,12.93,0.935,12.84,1,1.185,0.25
"2021-07-28 22:45:00",231334,12.92,0.936,12.74,1,1.186,0.25
"2021-07-28 23:00:00",231335,12.9,0.935,12.66,1,1.184,0.25
"2021-07-28 23:15:00",231336,12.9,0.933,12.57,1,1.182,0.25
"2021-07-28 23:30:00",231337,12.88,0.929,12.5,1,1.179,0.25
"2021-07-28 23:45:00",231338,12.87,0.928,12.43,1,1.178,0.25
"2021-07-29 00:00:00",231339,12.86,0.925,12.36,1,1.174,0.25
"2021-07-29 00:15:00",231340,12.85,0.922,12.29,1,1.172,0.25
"2021-07-29 00:30:00",231341,12.84,0.919,12.22,1,1.168,0.25
"2021-07-29 00:45:00",231342,12.83,0.917,12.14,1,1.167,0.25
"2021-07-29 01:00:00",231343,12.82,0.913,12.07,1,1.163,0.25
"2021-07-29 01:15:00",231344,12.8,0.91,11.99,1,1.159,0.25
"2021-07-29 01:30:00",231345,12.79,0.907,11.91,1,1.157,0.25
"2021-07-29 01:45:00",231346,12.78,0.905,11.84,1,1.155,0.25
"2021-07-29 02:00:00",231347,12.77,0.904,11.76,1,1.154,0.25
"2021-07-29 02:15:00",231348,12.76,0.902,11.69,1,1.152,0.25
"2021-07-29 02:30:00",231349,12.75,0.9,11.62,1,1.15,0.25
"2021-07-29 02:45:00",231350,12.74,0.898,11.54,1,1.147,0.25
"2021-07-29 03:00:00",231351,12.73,0.897,11.47,1,1.146,0.25
"2021-07-29 03:15:00",231352,12.72,0.892,11.39,1,1.142,0.25
"2021-07-29 03:30:00",231353,12.71,0.891,11.31,1,1.14,0.25
"2021-07-29 03:45:00",231354,12.7,0.888,11.23,1,1.138,0.25
"2021-07-29 04:00:00",231355,12.69,0.887,11.15,1,1.136,0.25
"2021-07-29 04:15:00",231356,12.68,0.883,11.08,1,1.133,0.25
"2021-07-29 04:30:00",231357,12.67,0.885,11,1,1.135,0.25
"2021-07-29 04:45:00",231358,12.66,0.884,10.92,1,1.133,0.25
"2021-07-29 05:00:00",231359,12.65,0.883,10.85,1,1.133,0.25
"2021-07-29 05:15:00",231360,12.64,0.88,10.77,1,1.13,0.25
"2021-07-29 05:30:00",231361,12.64,0.88,10.7,1,1.13,0.25
"2021-07-29 05:45:00",231362,12.62,0.879,10.63,1,1.128,0.25
"2021-07-29 06:00:00",231363,12.62,0.878,10.56,1,1.128,0.25
"2021-07-29 06:15:00",231364,12.61,0.878,10.49,1,1.127,0.25
"2021-07-29 06:30:00",231365,12.6,0.874,10.42,1,1.124,0.25
"2021-07-29 06:45:00",231366,12.6,0.875,10.36,1,1.125,0.25
"2021-07-29 07:00:00",231367,12.59,0.874,10.31,1,1.124,0.25
"2021-07-29 07:15:00",231368,12.58,0.873,10.26,1,1.123,0.25
"2021-07-29 07:30:00",231369,12.58,0.873,10.22,1,1.122,0.25
"2021-07-29 07:45:00",231370,12.58,0.873,10.19,1,1.123,0.25
"2021-07-29 08:00:00",231371,12.6,0.869,10.18,1,1.119,0.25
"2021-07-29 08:15:00",231372,12.61,0.871,10.19,1,1.121,0.25
"2021-07-29 08:30:00",231373,12.69,0.871,10.23,1,1.121,0.25
"2021-07-29 08:45:00",231374,12.78,0.869,10.29,1,1.119,0.25
"2021-07-29 09:00:00",231375,12.9,0.868,10.39,1,1.117,0.25
"2021-07-29 09:15:00",231376,13.19,0.866,10.52,1,1.115,0.25
"2021-07-29 09:30:00",231377,13.48,0.867,10.71,1,1.117,0.25
"2021-07-29 09:45:00",231378,13.46,0.867,10.91,1,1.116,0.25
"2021-07-29 10:00:00",231379,13.44,0.866,11.16,1,1.116,0.25
"2021-07-29 10:15:00",231380,13.42,0.867,11.29,1,1.116,0.25
"2021-07-29 10:30:00",231381,13.42,0.866,11.47,1,1.116,0.25
"2021-07-29 10:45:00",231382,13.4,0.865,11.77,1,1.114,0.25
"2021-07-29 11:00:00",231383,13.39,0.864,11.98,1,1.113,0.25
"2021-07-29 11:15:00",231384,13.39,0.863,12.04,1,1.113,0.25
"2021-07-29 11:30:00",231385,13.39,0.864,12.02,1,1.113,0.25
"2021-07-29 11:45:00",231386,13.39,0.864,11.96,1,1.113,0.25
"2021-07-29 12:00:00",231387,13.37,0.862,11.92,1,1.111,0.25
"2021-07-29 12:15:00",231388,13.4,0.863,11.91,1,1.112,0.25
"2021-07-29 12:30:00",231389,13.4,0.863,12.01,1,1.112,0.25
"2021-07-29 12:45:00",231390,13.36,0.863,12.1,1,1.112,0.25
"2021-07-29 13:00:00",231391,13.33,0.863,12.21,1,1.113,0.25
"2021-07-29 13:15:00",231392,13.31,0.864,12.27,1,1.114,0.25
"2021-07-29 13:30:00",231393,13.29,0.879,12.3,1,1.128,0.25
"2021-07-29 13:45:00",231394,13.26,0.888,12.27,1,1.138,0.25
"2021-07-29 14:00:00",231395,13.24,0.887,12.23,1,1.136,0.25
"2021-07-29 14:15:00",231396,13.23,0.873,12.21,1,1.123,0.25
"2021-07-29 14:30:00",231397,13.2,0.865,12.23,1,1.115,0.25
"2021-07-29 14:45:00",231398,13.23,0.861,12.26,1,1.111,0.25
"2021-07-29 15:00:00",231399,13.2,0.86,12.31,1,1.11,0.25
"2021-07-29 15:15:00",231400,13.21,0.862,12.36,1,1.111,0.25
"2021-07-29 15:30:00",231401,13.23,0.865,12.41,1,1.115,0.25
"2021-07-29 15:45:00",231402,13.26,0.869,12.45,1,1.119,0.25
"2021-07-29 16:00:00",231403,13.25,0.958,12.51,1,1.207,0.25
"2021-07-29 16:15:00",231404,13.23,1.087,12.6,1,1.336,0.25
"2021-07-29 16:30:00",231405,13.25,1.159,12.73,1,1.409,0.25
"2021-07-29 16:45:00",231406,13.37,1.224,12.89,1,1.474,0.25
"2021-07-29 17:00:00",231407,13.46,1.249,12.99,1,1.499,0.25
"2021-07-29 17:15:00",231408,13.46,1.23,12.99,1,1.48,0.25
"2021-07-29 17:30:00",231409,13.46,1.208,12.93,1,1.457,0.25
"2021-07-29 17:45:00",231410,13.42,1.179,12.84,1,1.428,0.25
"2021-07-29 18:00:00",231411,13.38,1.162,12.69,1,1.412,0.25
"2021-07-29 18:15:00",231412,13.37,1.144,12.48,1,1.393,0.25
"2021-07-29 18:30:00",231413,13.34,1.132,12.23,1,1.382,0.25
"2021-07-29 18:45:00",231414,13.32,1.116,11.99,1,1.365,0.25
"2021-07-29 19:00:00",231415,13.3,1.112,11.79,1,1.362,0.25
"2021-07-29 19:15:00",231416,13.28,1.106,11.62,1,1.355,0.25
"2021-07-29 19:30:00",231417,13.26,1.088,11.48,1,1.338,0.25
"2021-07-29 19:45:00",231418,13.25,1.084,11.38,1,1.334,0.25
"2021-07-29 20:00:00",231419,13.23,1.073,11.32,1,1.323,0.25
"2021-07-29 20:15:00",231420,13.21,1.068,11.29,1,1.317,0.25
"2021-07-29 20:30:00",231421,13.19,1.065,11.27,1,1.315,0.25
"2021-07-29 20:45:00",231422,13.18,1.053,11.26,1,1.303,0.25
"2021-07-29 21:00:00",231423,13.17,1.045,11.27,1,1.295,0.25
"2021-07-29 21:15:00",231424,13.15,1.043,11.27,1,1.293,0.25
"2021-07-29 21:30:00",231425,13.14,1.034,11.27,1,1.283,0.25
"2021-07-29 21:45:00",231426,13.12,1.028,11.27,1,1.277,0.25
"2021-07-29 22:00:00",231427,13.11,1.023,11.27,1,1.272,0.25
